F,S11,S21,S31,S41,S12,S22,S32,S42,S13,S23,S33,S43,S14,S24,S34,S44,S11',S21',S31',S41',S12',S22',S32',S42',S13',S23',S33',S43',S14',S24',S34',S44'
18.279999,-30.838406,-0.057356708,-33.939737,-40.488728,-0.057354557,-30.853127,-40.488715,-33.937776,-33.939738,-40.48873,-30.838407,-0.057356691,-40.488713,-33.937777,-0.057354557,-30.853129,-30.838406,-0.057356708,-33.939737,-40.488728,-0.057354557,-30.853127,-40.488715,-33.937776,-33.939738,-40.48873,-30.838407,-0.057356691,-40.488713,-33.937777,-0.057354557,-30.853129
18.299999,-30.831036,-0.057426758,-33.930686,-40.480033,-0.057424591,-30.845778,-40.480019,-33.928723,-33.930686,-40.480035,-30.831038,-0.057426725,-40.480019,-33.928723,-0.057424591,-30.84578,-30.831036,-0.057426758,-33.930686,-40.480033,-0.057424591,-30.845778,-40.480019,-33.928723,-33.930686,-40.480035,-30.831038,-0.057426725,-40.480019,-33.928723,-0.057424591,-30.84578
18.319998,-30.82369,-0.057496691,-33.921646,-40.471353,-0.05749454,-30.838451,-40.47134,-33.919681,-33.921647,-40.471354,-30.823691,-0.057496691,-40.471339,-33.919681,-0.05749454,-30.838454,-30.82369,-0.057496691,-33.921646,-40.471353,-0.05749454,-30.838451,-40.47134,-33.919681,-33.921647,-40.471354,-30.823691,-0.057496691,-40.471339,-33.919681,-0.05749454,-30.838454
18.34,-30.816368,-0.057566539,-33.91262,-40.462686,-0.057564389,-30.831148,-40.462674,-33.910652,-33.912621,-40.462689,-30.816368,-0.057566539,-40.462672,-33.910653,-0.057564389,-30.83115,-30.816368,-0.057566539,-33.91262,-40.462686,-0.057564389,-30.831148,-40.462674,-33.910652,-33.912621,-40.462689,-30.816368,-0.057566539,-40.462672,-33.910653,-0.057564389,-30.83115
18.360001,-30.809068,-0.057635771,-33.903605,-40.454035,-0.05763362,-30.823868,-40.454022,-33.901634,-33.903607,-40.454037,-30.809068,-0.057635771,-40.454021,-33.901635,-0.05763362,-30.82387,-30.809068,-0.057635771,-33.903605,-40.454035,-0.05763362,-30.823868,-40.454022,-33.901634,-33.903607,-40.454037,-30.809068,-0.057635771,-40.454021,-33.901635,-0.05763362,-30.82387
18.379999,-30.80179,-0.057704936,-33.894602,-40.445398,-0.057702252,-30.816611,-40.445384,-33.892629,-33.894604,-40.4454,-30.801791,-0.057704936,-40.445383,-33.89263,-0.057702752,-30.816613,-30.80179,-0.057704936,-33.894602,-40.445398,-0.057702252,-30.816611,-40.445384,-33.892629,-33.894604,-40.4454,-30.801791,-0.057704936,-40.445383,-33.89263,-0.057702752,-30.816613
18.4,-30.794536,-0.057773467,-33.885613,-40.436774,-0.0577713,-30.809377,-40.436761,-33.883636,-33.885614,-40.436777,-30.794537,-0.057773451,-40.43676,-33.883637,-0.0577713,-30.809379,-30.794536,-0.057773467,-33.885613,-40.436774,-0.0577713,-30.809377,-40.436761,-33.883636,-33.885614,-40.436777,-30.794537,-0.057773451,-40.43676,-33.883637,-0.0577713,-30.809379
18.42,-30.787306,-0.057841382,-33.876635,-40.428165,-0.057839731,-30.802166,-40.428152,-33.874655,-33.876636,-40.428167,-30.787306,-0.057841882,-40.428151,-33.874656,-0.057839731,-30.802167,-30.787306,-0.057841382,-33.876635,-40.428165,-0.057839731,-30.802166,-40.428152,-33.874655,-33.876636,-40.428167,-30.787306,-0.057841882,-40.428151,-33.874656,-0.057839731,-30.802167
18.439999,-30.780097,-0.057909731,-33.867669,-40.41957,-0.057907046,-30.794977,-40.419557,-33.865686,-33.867669,-40.419572,-30.780098,-0.057909714,-40.419555,-33.865687,-0.057907563,-30.794978,-30.780097,-0.057909731,-33.867669,-40.41957,-0.057907046,-30.794977,-40.419557,-33.865686,-33.867669,-40.419572,-30.780098,-0.057909714,-40.419555,-33.865687,-0.057907563,-30.794978
18.459999,-30.772911,-0.057977463,-33.858714,-40.410989,-0.057974795,-30.78781,-40.410975,-33.856729,-33.858716,-40.410991,-30.772912,-0.057977463,-40.410974,-33.85673,-0.057974795,-30.787813,-30.772911,-0.057977463,-33.858714,-40.410989,-0.057974795,-30.78781,-40.410975,-33.856729,-33.858716,-40.410991,-30.772912,-0.057977463,-40.410974,-33.85673,-0.057974795,-30.787813
18.480001,-30.765748,-0.058044612,-33.849771,-40.402422,-0.058042428,-30.780667,-40.402409,-33.847784,-33.849773,-40.402424,-30.765748,-0.058044596,-40.402406,-33.847785,-0.058042428,-30.780669,-30.765748,-0.058044612,-33.849771,-40.402422,-0.058042428,-30.780667,-40.402409,-33.847784,-33.849773,-40.402424,-30.765748,-0.058044596,-40.402406,-33.847785,-0.058042428,-30.780669
18.5,-30.758607,-0.058111629,-33.840841,-40.393869,-0.058108928,-30.773546,-40.393855,-33.83885,-33.840842,-40.39387,-30.758608,-0.058111613,-40.393853,-33.838851,-0.058109461,-30.773548,-30.758607,-0.058111629,-33.840841,-40.393869,-0.058108928,-30.773546,-40.393855,-33.83885,-33.840842,-40.39387,-30.758608,-0.058111613,-40.393853,-33.838851,-0.058109461,-30.773548
18.52,-30.751488,-0.058178547,-33.831922,-40.385328,-0.058175862,-30.766447,-40.385316,-33.829929,-33.831923,-40.385331,-30.751489,-0.058178547,-40.385314,-33.829929,-0.058175862,-30.766449,-30.751488,-0.058178547,-33.831922,-40.385328,-0.058175862,-30.766447,-40.385316,-33.829929,-33.831923,-40.385331,-30.751489,-0.058178547,-40.385314,-33.829929,-0.058175862,-30.766449
18.539999,-30.744392,-0.058244349,-33.823015,-40.376803,-0.058242181,-30.75937,-40.37679,-33.821019,-33.823016,-40.376806,-30.744393,-0.058244849,-40.376788,-33.821019,-0.058242181,-30.759372,-30.744392,-0.058244349,-33.823015,-40.376803,-0.058242181,-30.75937,-40.37679,-33.821019,-33.823016,-40.376806,-30.744393,-0.058244849,-40.376788,-33.821019,-0.058242181,-30.759372
